PhyloFlash header,Target sequence length,Closest hit to reference 16S,Reference sequence length,HD for closest hit
14_1.814364,1483,Synechococcus sp. JA-2-3B'a(2-13),1,1050
14_1.814364,1483,Candidatus Solibacter usitatus Ellin6076,1,710
14_1.814364,1483,Roseiflexus sp. RS-1,1,1040
14_1.814364,1483,Roseiflexus castenholzii DSM 13941,1,991
14_1.814364,1483,Pseudothermotoga lettingae TMO,1,934
14_1.814364,1483,Chloroflexus aurantiacus J-10-fl,1,1007
14_1.814364,1483,Chloroflexus aggregans DSM 9485,1,1038
14_1.814364,1483,Chloroflexus aurantiacus Y-400-fl,1,1007
14_1.814364,1483,Meiothermus ruber DSM 1279,1,1039
14_1.814364,1483,Meiothermus silvanus DSM 9946,1,1050
14_1.814364,1483,Chloracidobacterium thermophilum B,1,839
14_1.814364,1483,Ignavibacterium album JCM 16511,1,880
14_1.814364,1483,Pseudanabaena sp. PCC 7367,1,892
14_1.814364,1483,Pseudothermotoga hypogea DSM 11164 = NBRC 106472,1,922
14_1.814364,1483,Oscillochloris trichoides DG-6,1,700
14_1.814364,1483,Caldimicrobium thiodismutans strain TF1,1,907
14_1.814364,1483,Pseudanabaena sp. ABRG5-3,1,745
14_1.814364,1483,Elioraea tepidiphila DSM 17972,1,6
14_1.814364,1483,Thermodesulfovibrio thiophilus DSM 17215,1,849
14_1.814364,1483,Chloroflexus sp. Y-396-1,1,1037
14_1.814364,1483,Thermocrinis ruber strain DSM 23557,1,819
14_1.814364,1483,Thermus aquaticus Y51MC23,1,943
14_1.814364,1483,Thermus brockianus strain GE-1,1,941
14_1.814364,1483,Gloeomargarita lithophora Alchichica-D10,1,778
14_1.814364,1483,Meiothermus taiwanensis WR-220,1,1038
14_1.814364,1483,Chloroflexus sp. MS-G,1,1054
14_1.814364,1483,Chloroflexus islandicus strain isl-2,1,1043
14_1.814364,1483,Thermodesulfovibrio sp. N1,1,833
13_2.032978,1568,Candidatus Thermochlorobacteriaceae bacterium GBChlB,1,577
13_2.032978,1568,Synechococcus sp. JA-3-3Ab,1,899
13_2.032978,1568,Synechococcus sp. JA-2-3B'a(2-13),1,911
13_2.032978,1568,Candidatus Solibacter usitatus Ellin6076,1,925
13_2.032978,1568,Roseiflexus sp. RS-1,1,881
13_2.032978,1568,Roseiflexus castenholzii DSM 13941,1,882
13_2.032978,1568,Pseudothermotoga lettingae TMO,1,954
13_2.032978,1568,Chloroflexus aurantiacus J-10-fl,1,883
13_2.032978,1568,Chloroflexus aggregans DSM 9485,1,911
13_2.032978,1568,Chloroflexus aurantiacus Y-400-fl,1,883
13_2.032978,1568,Meiothermus ruber DSM 1279,1,932
13_2.032978,1568,Meiothermus silvanus DSM 9946,1,933
13_2.032978,1568,Chloracidobacterium thermophilum B,1,975
13_2.032978,1568,Ignavibacterium album JCM 16511,1,948
13_2.032978,1568,Pseudanabaena sp. PCC 7367,1,904
13_2.032978,1568,Pseudothermotoga hypogea DSM 11164 = NBRC 106472,1,936
13_2.032978,1568,Oscillochloris trichoides DG-6,1,827
13_2.032978,1568,Caldimicrobium thiodismutans strain TF1,1,5
13_2.032978,1568,Pseudanabaena sp. ABRG5-3,1,903
13_2.032978,1568,Elioraea tepidiphila DSM 17972,1,912
13_2.032978,1568,Thermodesulfovibrio thiophilus DSM 17215,1,958
13_2.032978,1568,Chloroflexus sp. Y-396-1,1,889
13_2.032978,1568,Thermocrinis ruber strain DSM 23557,1,971
13_2.032978,1568,Thermus aquaticus Y51MC23,1,940
13_2.032978,1568,Thermus brockianus strain GE-1,1,939
13_2.032978,1568,Gloeomargarita lithophora Alchichica-D10,1,923
13_2.032978,1568,Meiothermus taiwanensis WR-220,1,934
13_2.032978,1568,Chloroflexus sp. MS-G,1,890
13_2.032978,1568,Chloroflexus islandicus strain isl-2,1,883
13_2.032978,1568,Thermodesulfovibrio sp. N1,1,954
12_2.797460,1553,Candidatus Thermochlorobacteriaceae bacterium GBChlB,1,602
12_2.797460,1553,Synechococcus sp. JA-3-3Ab,1,918
12_2.797460,1553,Synechococcus sp. JA-2-3B'a(2-13),1,907
12_2.797460,1553,Candidatus Solibacter usitatus Ellin6076,1,918
12_2.797460,1553,Roseiflexus sp. RS-1,1,929
12_2.797460,1553,Roseiflexus castenholzii DSM 13941,1,918
12_2.797460,1553,Pseudothermotoga lettingae TMO,1,2
12_2.797460,1553,Chloroflexus aurantiacus J-10-fl,1,910
12_2.797460,1553,Chloroflexus aggregans DSM 9485,1,915
12_2.797460,1553,Chloroflexus aurantiacus Y-400-fl,1,910
12_2.797460,1553,Meiothermus ruber DSM 1279,1,929
12_2.797460,1553,Meiothermus silvanus DSM 9946,1,939
12_2.797460,1553,Chloracidobacterium thermophilum B,1,976
12_2.797460,1553,Ignavibacterium album JCM 16511,1,901
12_2.797460,1553,Pseudanabaena sp. PCC 7367,1,926
12_2.797460,1553,Pseudothermotoga hypogea DSM 11164 = NBRC 106472,1,130
12_2.797460,1553,Oscillochloris trichoides DG-6,1,880
12_2.797460,1553,Caldimicrobium thiodismutans strain TF1,1,953
12_2.797460,1553,Pseudanabaena sp. ABRG5-3,1,929
12_2.797460,1553,Elioraea tepidiphila DSM 17972,1,933
12_2.797460,1553,Thermodesulfovibrio thiophilus DSM 17215,1,910
12_2.797460,1553,Chloroflexus sp. Y-396-1,1,919
12_2.797460,1553,Thermocrinis ruber strain DSM 23557,1,1101
12_2.797460,1553,Thermus aquaticus Y51MC23,1,946
12_2.797460,1553,Thermus brockianus strain GE-1,1,959
12_2.797460,1553,Gloeomargarita lithophora Alchichica-D10,1,917
12_2.797460,1553,Meiothermus taiwanensis WR-220,1,926
12_2.797460,1553,Chloroflexus sp. MS-G,1,908
12_2.797460,1553,Chloroflexus islandicus strain isl-2,1,924
12_2.797460,1553,Thermodesulfovibrio sp. N1,1,908
11_2.448442,1491,Candidatus Thermochlorobacteriaceae bacterium GBChlB,1,474
11_2.448442,1491,Synechococcus sp. JA-3-3Ab,1,925
11_2.448442,1491,Synechococcus sp. JA-2-3B'a(2-13),1,943
11_2.448442,1491,Candidatus Solibacter usitatus Ellin6076,1,1064
11_2.448442,1491,Roseiflexus sp. RS-1,1,927
11_2.448442,1491,Roseiflexus castenholzii DSM 13941,1,923
11_2.448442,1491,Pseudothermotoga lettingae TMO,1,938
11_2.448442,1491,Chloroflexus aurantiacus J-10-fl,1,917
11_2.448442,1491,Chloroflexus aggregans DSM 9485,1,920
11_2.448442,1491,Chloroflexus aurantiacus Y-400-fl,1,917
11_2.448442,1491,Meiothermus ruber DSM 1279,1,206
11_2.448442,1491,Meiothermus silvanus DSM 9946,1,0
11_2.448442,1491,Chloracidobacterium thermophilum B,1,992
11_2.448442,1491,Ignavibacterium album JCM 16511,1,896
11_2.448442,1491,Pseudanabaena sp. PCC 7367,1,1000
11_2.448442,1491,Pseudothermotoga hypogea DSM 11164 = NBRC 106472,1,928
11_2.448442,1491,Oscillochloris trichoides DG-6,1,888
11_2.448442,1491,Caldimicrobium thiodismutans strain TF1,1,932
11_2.448442,1491,Pseudanabaena sp. ABRG5-3,1,1007
11_2.448442,1491,Elioraea tepidiphila DSM 17972,1,1054
11_2.448442,1491,Thermodesulfovibrio thiophilus DSM 17215,1,936
11_2.448442,1491,Chloroflexus sp. Y-396-1,1,989
11_2.448442,1491,Thermocrinis ruber strain DSM 23557,1,926
11_2.448442,1491,Thermus aquaticus Y51MC23,1,872
11_2.448442,1491,Thermus brockianus strain GE-1,1,848
11_2.448442,1491,Gloeomargarita lithophora Alchichica-D10,1,1027
11_2.448442,1491,Meiothermus taiwanensis WR-220,1,205
11_2.448442,1491,Chloroflexus sp. MS-G,1,1001
11_2.448442,1491,Chloroflexus islandicus strain isl-2,1,941
11_2.448442,1491,Thermodesulfovibrio sp. N1,1,928
10_5.428072,961,Candidatus Thermochlorobacteriaceae bacterium GBChlB,1,1
10_5.428072,961,Synechococcus sp. JA-3-3Ab,1,550
10_5.428072,961,Synechococcus sp. JA-2-3B'a(2-13),1,551
10_5.428072,961,Candidatus Solibacter usitatus Ellin6076,1,579
10_5.428072,961,Roseiflexus sp. RS-1,1,565
10_5.428072,961,Roseiflexus castenholzii DSM 13941,1,569
10_5.428072,961,Pseudothermotoga lettingae TMO,1,601
10_5.428072,961,Chloroflexus aurantiacus J-10-fl,1,575
10_5.428072,961,Chloroflexus aggregans DSM 9485,1,580
10_5.428072,961,Chloroflexus aurantiacus Y-400-fl,1,575
10_5.428072,961,Meiothermus ruber DSM 1279,1,468
10_5.428072,961,Meiothermus silvanus DSM 9946,1,473
10_5.428072,961,Chloracidobacterium thermophilum B,1,589
10_5.428072,961,Ignavibacterium album JCM 16511,1,575
10_5.428072,961,Pseudanabaena sp. PCC 7367,1,550
10_5.428072,961,Pseudothermotoga hypogea DSM 11164 = NBRC 106472,1,593
10_5.428072,961,Oscillochloris trichoides DG-6,1,678
10_5.428072,961,Caldimicrobium thiodismutans strain TF1,1,576
10_5.428072,961,Pseudanabaena sp. ABRG5-3,1,545
10_5.428072,961,Elioraea tepidiphila DSM 17972,1,564
10_5.428072,961,Thermodesulfovibrio thiophilus DSM 17215,1,574
10_5.428072,961,Chloroflexus sp. Y-396-1,1,576
10_5.428072,961,Thermocrinis ruber strain DSM 23557,1,584
10_5.428072,961,Thermus aquaticus Y51MC23,1,587
10_5.428072,961,Thermus brockianus strain GE-1,1,584
10_5.428072,961,Gloeomargarita lithophora Alchichica-D10,1,587
10_5.428072,961,Meiothermus taiwanensis WR-220,1,466
10_5.428072,961,Chloroflexus sp. MS-G,1,577
10_5.428072,961,Chloroflexus islandicus strain isl-2,1,584
10_5.428072,961,Thermodesulfovibrio sp. N1,1,570
